,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves,locc_,book_url
2681,2718,Text,2001-07-01,The Chaperon,en,"James, Henry, 1843-1916",London (England) -- Social life and customs -- 19th century -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2718/2718-0.txt
2682,2719,Text,2001-07-01,Greville Fane,en,"James, Henry, 1843-1916",Women authors -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/1/2719/2719-0.txt
2683,2720,Text,2001-07-01,The Pension Beaurepas,en,"James, Henry, 1843-1916",Landlord and tenant -- Fiction; Switzerland -- Fiction; Boardinghouses -- Fiction; Geneva (Switzerland) -- Fiction; Americans -- Switzerland -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/2/2720/2720-0.txt
2686,2723,Text,2006-05-25,A First Family of Tasajara,en,"Harte, Bret, 1836-1902",Western stories; American fiction -- 19th century; California -- Fiction; Contra Costa County (Calif.) -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/2/2723/2723.txt
2688,2725,Text,2001-07-01,Red Pepper Burns,en,"Richmond, Grace S. (Grace Smith), 1866-1959",Physicians -- Fiction,PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/2/2725/2725.txt
2689,2726,Text,2001-07-01,Eight Cousins,en,"Alcott, Louisa May, 1832-1888",Orphans -- Juvenile fiction; Cousins -- Juvenile fiction; Family life -- Juvenile fiction,PZ; PS,Children's Literature,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/2/2726/2726-0.txt
2698,2735,Text,2001-07-01,The Golden Dog,en,"Kirby, William, 1817-1906",Historical fiction; Canada -- History -- To 1763 (New France) -- Fiction,PS,Canada,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/3/2735/2735.txt
2728,2766,Text,2001-08-01,The Red Acorn,en,"McElroy, John, 1846-1929","United States -- History -- Civil War, 1861-1865 -- Fiction",PS,US Civil War,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/6/2766/2766-0.txt
2732,2770,Text,2001-08-01,Five Little Peppers and How They Grew,en,"Sidney, Margaret, 1844-1924",Poor -- Juvenile fiction; Conduct of life -- Juvenile fiction; Children -- Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Siblings -- Juvenile fiction; Birthdays -- Juvenile fiction; Families -- Juvenile fiction; Fatherless families -- Juvenile fiction; Sick -- Juvenile fiction; Five Little Peppers (Fictitious characters) -- Juvenile fiction; Mothers -- Juvenile fiction,PZ; PS,Children's Book Series; Children's Literature,"['PZ', 'PS']",http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/7/2770/2770.txt
2738,2776,Text,2001-08-01,The Four Million,en,"Henry, O., 1862-1910","New York (N.Y.) -- Social life and customs -- Fiction; Short stories, American",PS,,['PS'],http://www.mirrorservice.org/sites/ftp.ibiblio.org/pub/docs/books/gutenberg/2/7/7/2776/2776-0.txt
